date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-06-13,2113.91,2122.46,2084.3,2083.29,210287.7,-48.66,-2.28,2129.058,2124.464,2100.585,171376.08,196461.65,171576.09
2016-06-08,2137.18,2138.85,2132.96,2124.84,164057.91,-6.11,-0.29,2139.728,2123.648,2100.612,162031.88,188559.39,170025.47
2016-06-07,2141.65,2145.71,2139.07,2134.61,140684.91,2.75,0.13,2140.928,2117.543,2097.885,180166.94,183438.6,170851.89
2016-06-06,2148.96,2151.06,2136.32,2131.92,136588.38,-16.32,-0.76,2144.246,2110.3,2094.55,233333.44,182474.55,172400.52
2016-06-03,2146.56,2157.07,2152.64,2135.53,205261.52,14.99,0.7,2135.414,2104.909,2091.358,241444.53,183294.92,177582.22
2016-06-02,2138.21,2144.32,2137.65,2129.94,163566.66,-1.31,-0.06,2119.87,2097.957,2089.076,221547.21,176658.94,179640.28
2016-06-01,2155.5,2158.72,2138.96,2138.56,254733.23,-16.7,-0.78,2107.568,2091.572,2089.837,215086.9,174352.28,178850.68
2016-05-31,2092.22,2158.12,2155.66,2092.22,406517.41,63.5,3.04,2094.158,2085.552,2090.536,186710.25,171916.07,174827.46
2016-05-30,2076.93,2093.77,2092.16,2065.64,177143.84,17.24,0.83,2076.354,2077.533,2090.666,131615.66,146115.29,167409.2
2016-05-27,2075.21,2080.49,2074.92,2069.52,105774.92,-1.22,-0.06,2074.404,2076.579,2092.834,125145.31,141980.15,166526.28
2016-05-26,2070.24,2083.06,2076.14,2062.17,131265.12,4.23,0.2,2076.044,2076.706,2096.191,131770.67,146690.53,169916.59
2016-05-25,2079.48,2084.13,2071.91,2068.68,112849.97,5.27,0.26,2075.576,2077.576,2099.653,133617.66,151491.55,170613.73
2016-05-24,2080.01,2080.07,2066.64,2062.5,131044.43,-15.77,-0.76,2076.946,2078.226,2103.847,157121.89,158265.18,172693.38
2016-05-23,2082.97,2095.17,2082.41,2077.94,144792.11,-0.71,-0.03,2078.712,2078.8,2107.929,160614.93,162326.48,174719.19
2016-05-20,2067.46,2083.51,2083.12,2064.44,138901.72,9.32,0.45,2078.754,2077.806,2111.695,158814.99,171869.53,177578.87
2016-05-19,2072.37,2083.13,2073.8,2069.9,140500.06,-4.96,-0.24,2077.368,2080.195,2114.925,161610.39,182621.63,185948.26
2016-05-18,2067.72,2081.85,2078.76,2053.72,230371.12,3.29,0.16,2079.576,2088.103,2118.979,169365.43,183349.08,202705.89
2016-05-17,2081.57,2083.85,2075.47,2069.27,148509.62,-7.15,-0.34,2079.506,2095.52,2123.222,159408.48,177738.86,200382.65
2016-05-16,2068.92,2082.86,2082.62,2064.68,135792.44,6.43,0.31,2078.888,2103.8,2127.36,164038.04,188703.11,205162.63
2016-05-13,2079.64,2089.84,2076.19,2072.26,152878.69,-8.65,-0.41,2076.858,2109.089,2132.332,184924.06,191072.4,210282.44
2016-05-12,2067.75,2089.65,2084.84,2055.51,179275.3,6.43,0.31,2083.022,2115.676,2137.466,203632.87,193142.64,215077.93
2016-05-11,2078.29,2089.12,2078.41,2068.65,180586.33,6.03,0.29,2096.63,2121.73,2141.79,197332.72,189735.91,231671.4
2016-05-10,2061.99,2084.7,2072.38,2061.99,171657.45,-0.09,-0.0,2111.534,2129.468,2145.065,196069.24,187121.57,232338.19
2016-05-09,2100.64,2100.64,2072.47,2064.69,240222.53,-34.54,-1.64,2128.712,2137.058,2148.868,213368.18,187111.9,238861.56
2016-05-06,2152.5,2153.87,2107.01,2106.44,246422.75,-45.87,-2.13,2141.32,2145.583,2151.434,197220.75,183288.21,238261.81
2016-05-05,2149.47,2155.47,2152.88,2145.11,147774.52,-0.05,-0.0,2148.33,2149.654,2153.054,182652.41,189274.89,238857.2
2016-05-04,2152.43,2159.65,2152.93,2147.76,174268.94,-5.34,-0.25,2146.83,2149.855,2153.812,182139.11,222062.69,245643.31
2016-05-03,2136.2,2167.73,2158.27,2131.38,258152.16,22.76,1.07,2147.402,2150.923,2155.178,178173.91,223026.45,256367.12
2016-04-29,2136.84,2146.32,2135.51,2134.19,159485.38,-6.55,-0.31,2145.404,2150.919,2155.654,160855.61,221622.15,260911.46
2016-04-28,2149.07,2155.57,2142.06,2131.86,173581.06,-3.32,-0.15,2149.846,2155.575,2156.705,169355.68,229492.48,269078.11
2016-04-27,2157.86,2159.13,2145.38,2143.9,145208.02,-10.41,-0.48,2150.978,2159.256,2157.479,195897.36,237013.23,278215.97
2016-04-26,2146.41,2163.24,2155.79,2140.57,154442.91,7.51,0.35,2152.88,2161.85,2155.553,261986.28,273606.89,283782.88
